NUMBER,NAME,RATING,STARTER
23-PP-065,NEUT. RECIRCULATION PUMP,37,DOL
16-PP-197,LIME SLURRY TRANSFER PUMP TO CIL,22,DOL
23-PP-295,TK42 CIRCULATION PUMP,11,DOL
16-PP-221,EQUIPPED SPARE,22,DOL
27-EQ-001,EQUIPPED SPARE,5.5,DOL
27-EQ-004,EQUIPPED SPARE,7.5,DOL
11-EQ-001,EQUIPPED SPARE,5.5,DOL
27-EQ-006,EQUIPPED SPARE,22,DOL
27-EQ-005,EQUIPPED SPARE,11,DOL
27-EQ-002,EQUIPPED UBMERSIBLE PUMP,5.5,DOL
27-EQ-010,EQUIPPED SPARE,45,DOL
27-EQ-008,EQUIPPED SPARE,30,DOL
23-PP-352,EFFLUENT SUMP PUMP,75,DOL
08-PP-05,FRONTER DOZING PUMP 1,0.024,DOL
08-PP-06,FRONTER DOZING PUMP 2,0.024,DOL
08-PP-07,FRONTER DOZING PUMP 3,0.024,DOL
08-PP-08,FRONTER DOZING PUMP 4,0.024,DOL
08-PP-09,PROMOTER DOZING PUMP 1,0.55,DOL
08-PP-10,PROMOTER DOZING PUMP 2,0.55,DOL
18-AG-01,FLOATATION FEED SURGE TANK AGITATOR,30,DOL
18-AG-02,FLOATATION CONDITIONER TANK AGITATOR,30,DOL
18-PP-16,FLOATATION FEED SURGE AREA SUMP PUMP,7.5,DOL
18-SP-03,,7.5,DOL
18-PP-11,PROMOTER DOZING PUMP 3,0.55,DOL
18-PP-12,PROMOTER DOZING PUMP 4,0.055,DOL
18-AG-03,ROUGLER FLOATATION 1 AGITATOR,225,SS
18-AG-04,ROUGLER FLOATATION 2 AGITATOR,225,SS
18-AG-05,ROUGLER FLOATATION 3 AGITATOR,225,SS
18-AG-06,SCAVANGER FLOATATION CELL 1 AGITATOR,225,SS
18-AG-07,SCAVANGER FLOATATION CELL 2 AGITATOR,225,SS
18-AG-08,SCAVANGER FLOATATION CELL 3 AGITATOR,225,SS
18-AG-09,SCAVANGER FLOATATION CELL 4 AGITATOR,225,SS
19-PP-07,CIL INTERSTAGE CARBON PUMP,30,VSD
19-PP-09,CIL TAILING PUMP 1,30,VSD
19-PP-10,CIL TAILING PUMP 2,30,VSD
19-AG-01,PRE-OXIDATION TANK 1 AGITATION ,55,DOL
19-PP-12,CIL ACID WASH PUMP,5.5,DOL
19-PP-13,CIL TRANSFER PUMP 1,11,VSD
19-PP-15,CIL PULP TRANSFER PUMP,7.5,DOL
19-AG-02,PRE-OXIDATION TANK 2 AGITATOR,55,DOL
19-AG-03,PRE-OXIDATION TANK 3 AGITATOR,55,DOL
19-PC-05,TEMPORARY TOWER CRANE,7.5,DOL
19-PP-36,,11,DOL
19-PP-17,CIL AREA SUMP PUMP 2,11,DOL
19-PP-18,CIL PREOXIDATION AREA SUMP PUMP,11,DOL
19-PP-19,CIL ACID AREA SUMP PUMP,5.5,DOL
19-AG-04,CIL TANK 1 AGITATOR,55,DOL
19-SA-01,CIL FEED SAMPLER,0.74,
18-SA-05,FINAL CONCENTRATE SAMPLER,0.74,
19-AG-05,CIL TANK 2 AGITATOR,55,DOL
,,,
,,,
19-AG-06,CIL TANK 3 AGITATOR,55,DOL
19-SC-01A & 01B,CIL LOADED CARBON SCREEN,3.74,DOL
19-PP-01,CIL INTERSTAGE CARBON PUMP 1,7.5,DOL
19-PP-02,CIL INTERSTAGE CARBON PUMP 2,7.5,DOL
19-AG-07,CIL TANK 4 AGITATOR,55,DOL
19-SC-02A & 02B,CIL CARBON SAFETY SCREEN 1,3.74,DOL
19-PP-03,CIL INTERSTAGE CARBON PUMP 3,7.4,DOL
19-PP-04,CIL INTERSTAGE CARBON PUMP 4,7.5,DOL
19-AG-08,CIL TANK 5 AGITATOR,55,DOL
19-SC-03A & 02B,CIL TAILING CARBON SAFETY SCREEN,3.74,DOL
19-PP-05,CIL INTERSTAGE CARBON PUMP 5,7.5,DOL
19-PP-06,CIL INTERSTAGE CARBON PUMP 5,7.5,DOL
19-AG-09,CIL TANK 6 AGITATOR,55,DOL
19-SC 04,CIL INTERSTAGE SCREEN 1,5.5,DOL
19-SC 05,CIL INTERSTAGE SCREEN 2,5.5,DOL
19-SC 06,CIL INTERSTAGE SCREEN 3,5.5,DOL
19-SC 07,CIL INTERSTAGE SCREEN 4,5.5,DOL
19-SC 08,CIL INTERSTAGE SCREEN 5,5.5,DOL
19-SC 09,CIL INTERSTAGE SCREEN 6,5.5,DOL
19-SC 10,CIL INTERSTAGE SCREEN 7,11,DOL
19-SC 11,CIL INTERSTAGE SCREEN 8,11,DOL
19-AG-10,CIL TANK 7 AGITATOR,55,DOL
19-AG-11,CIL TANK 8 AGITATOR,55,DOL
19-SC-12,CIL BARREA CARBON SCREEN 1,1.87,DOL
19-SC-13,CIL BARREA CARBON SCREEN 2,1.87,DOL
16-AG-55,DEPRESSANT MIXING & STORAGE TANK AGITATOR ,2.2,DOL
16-AG-56,COLLECTOR MIXING AND STORAGE TANK AGITATOR,2.2,DOL
16-AG-57,PROMOTER MIXING AND STORAGE AGITATOR,2.2,DOL
16-AG-60,COPPER SULPHATE MIXING AND STORAGE TANK AGITATOR,2.2,DOL
16-AG-65,DEPRESSANT MIXING & STORAGE TANK AGITATOR ,2.2,DOL
16-AG-87,PROMOTER MIXING AND STORAGE AGITATOR,2.2,DOL
16-AG-88,COPPER SULPHATE MIXING AND STORAGE TANK AGITATOR,2.2,DOL
16-AG-104,MASH MIXING TANK AGITATOR No 1,2.2,DOL
16-AG-40,INOCULIUM BUILD UP TANK AGITATOR,0.7,DOL
12-FA-10,SAG MILL EXTERNAL AIR FAN,11,DOL
12-FA-11,SAG MILL EXTERNAL AIR FAN,11,DOL
13-TH-02,CONCENTRATE THICKNER AIR FAN,5.5,DOL
12-FA-13,MILL SLIP RING AIR FAN ,1.5,DOL
12-FA-14,BALL MILL EXTERNAL AIR FAN,11,DOL
12-FA-15,BALL MILL EXTERNAL AIR FAN,11,DOL
16-PP-230,NASH AND FRONTHER SUMP PUMP,5.5,DOL
12-FA-17,BALL MILL SLIP RING AIR FAN,11,DOL
12-PP-252,BALL MILL GEAR BOX LUBE PUMP,7,DOL
23-PP-38,REACTOR AREA SUMP PUMP TRAIN,11,DOL
13-PP-314,CLEANER CONCENTRATE RECIRCULATION PUMP,11,DOL
13-PP-313,CLEANER CONCENTRATE RECIRCULATION PUMP,11,DOL
16-PP-65,DEPRESSANT TRANSFER PUMP,15,DOL
05-PP-517,ELUATE TANK,22,DOL
05-PP-518,ELUATE TANK,5.5,DOL
05-PP-519,ELUATE TANK,5.5,DOL
05-SP-35,SUMP PUMP,4.5,DOL
